,Date,Index,PRCP
0,1951-02-01,0.8,45.7
1,1951-03-01,0.2,12.7
2,1951-04-01,-0.4,13.5
3,1951-05-01,-0.3,13.5
4,1951-06-01,-0.5,0.3
5,1951-07-01,-0.3,0.0
6,1951-08-01,-0.8,0.0
7,1951-09-01,-0.8,5.6
8,1951-10-01,-1.0,14.0
9,1951-11-01,-0.8,54.4
10,1951-12-01,-0.8,103.1
11,1952-01-01,-0.7,161.0
12,1952-02-01,-0.3,23.4
13,1952-03-01,-0.1,105.8
14,1952-04-01,0.4,32.1
15,1952-05-01,0.4,2.1
16,1952-06-01,0.7,0.5
17,1952-07-01,0.4,1.0
18,1952-08-01,0.1,0.0
19,1952-09-01,0.1,0.0
20,1952-10-01,0.1,0.3
21,1952-11-01,-0.3,36.2
22,1952-12-01,-0.3,115.8
23,1953-01-01,-0.5,35.8
24,1953-02-01,-0.1,0.5
25,1953-03-01,-0.2,24.5
26,1953-04-01,-0.6,19.2
27,1953-05-01,-0.5,9.6
28,1953-06-01,-0.5,2.0
29,1953-07-01,-0.4,0.0
30,1953-08-01,-0.8,2.3
31,1953-09-01,-0.8,0.0
32,1953-10-01,-0.5,5.1
33,1953-11-01,-0.2,44.4
34,1953-12-01,-0.0,12.8
35,1954-01-01,-0.0,56.2
36,1954-02-01,0.2,43.6
37,1954-03-01,0.2,75.9
38,1954-04-01,0.5,9.9
39,1954-05-01,0.4,3.0
40,1954-06-01,0.3,3.1
41,1954-07-01,0.5,0.0
42,1954-08-01,0.6,0.0
43,1954-09-01,0.5,0.0
44,1954-10-01,0.2,0.0
45,1954-11-01,0.6,33.6
46,1954-12-01,0.3,75.4
47,1955-01-01,0.9,104.9
48,1955-02-01,0.7,38.9
49,1955-03-01,0.8,1.3
50,1955-04-01,0.5,28.5
51,1955-05-01,0.7,18.8
52,1955-06-01,1.3,0.0
53,1955-07-01,1.5,0.0
54,1955-08-01,1.5,0.0
55,1955-09-01,1.4,0.0
56,1955-10-01,1.3,0.3
57,1955-11-01,1.2,27.0
58,1955-12-01,1.2,235.2
59,1956-01-01,1.3,118.5
60,1956-02-01,1.4,22.1
61,1956-03-01,1.3,1.9
62,1956-04-01,1.2,25.7
63,1956-05-01,1.1,29.3
64,1956-06-01,1.2,0.0
65,1956-07-01,1.1,0.0
66,1956-08-01,0.8,0.0
67,1956-09-01,1.0,11.4
68,1956-10-01,0.7,13.4
69,1956-11-01,1.0,0.0
70,1956-12-01,0.6,12.0
71,1957-01-01,0.5,71.1
72,1957-02-01,0.2,69.3
73,1957-03-01,0.1,20.8
74,1957-04-01,-0.1,23.8
75,1957-05-01,-0.1,30.7
76,1957-06-01,-0.1,3.0
77,1957-07-01,-0.0,0.0
78,1957-08-01,-0.4,0.0
79,1957-09-01,-0.5,6.9
80,1957-10-01,-0.6,23.3
81,1957-11-01,-0.4,5.6
82,1957-12-01,-1.1,69.9
83,1958-01-01,-0.9,74.2
84,1958-02-01,-0.7,137.0
85,1958-03-01,0.1,122.7
86,1958-04-01,0.1,93.4
87,1958-05-01,0.1,13.5
88,1958-06-01,0.1,10.4
89,1958-07-01,0.5,0.0
90,1958-08-01,0.3,0.8
91,1958-09-01,0.2,1.0
92,1958-10-01,-0.2,0.3
93,1958-11-01,-0.3,5.9
94,1958-12-01,-0.6,15.2
95,1959-01-01,-1.0,77.6
96,1959-02-01,-0.3,125.8
97,1959-03-01,0.1,6.4
98,1959-04-01,0.7,15.2
99,1959-05-01,0.3,0.3
100,1959-06-01,0.0,0.0
101,1959-07-01,-0.2,0.0
102,1959-08-01,-0.1,0.0
103,1959-09-01,0.1,51.8
104,1959-10-01,0.5,0.0
105,1959-11-01,0.8,0.0
106,1959-12-01,0.6,15.9
107,1960-01-01,0.4,73.9
108,1960-02-01,0.4,83.0
109,1960-03-01,0.6,12.2
110,1960-04-01,0.8,20.3
111,1960-05-01,0.5,7.1
112,1960-06-01,0.4,0.0
113,1960-07-01,0.5,0.5
114,1960-08-01,0.7,0.0
115,1960-09-01,0.5,0.0
116,1960-10-01,0.4,1.3
117,1960-11-01,0.5,72.8
118,1960-12-01,0.3,32.9
119,1961-01-01,0.5,34.5
120,1961-02-01,-0.4,20.5
121,1961-03-01,-0.0,51.7
122,1961-04-01,-0.2,19.3
123,1961-05-01,0.4,15.0
124,1961-06-01,0.2,3.0
